timestamp,USDT_ARS_Parallel_sell_price,USDT_ARS_TradingView_open,USDT_ARS_TradingView_close,USDT_ARS_TradingView_high,USDT_ARS_TradingView_low,USDT_ARS_TradingView_volume,USD_ARS_Official_open,USD_ARS_Official_close,USD_ARS_Official_high,USD_ARS_Official_low
2022-01-01,,,,,,,,,,
2022-01-02,,,,,,,102.68,102.9,103.04,102.64
2022-01-03,206.0,,,,,,102.9,103.09,103.09,102.9
2022-01-04,206.5,,,,,,103.09,103.04,103.15,102.97
2022-01-05,207.0,,,,,,103.09,103.22,103.23,103.05
2022-01-06,208.5,,,,,,103.22,103.28,103.29,103.22
2022-01-07,208.5,,,,,,,,,
2022-01-08,,,,,,,,,,
2022-01-09,,,,,,,103.28,103.45,103.5,103.28
2022-01-10,206.5,,,,,,103.45,103.46,103.58,103.45
2022-01-11,207.0,,,,,,103.46,103.66,103.66,103.46
2022-01-12,208.5,,,,,,103.66,103.76,103.76,103.5
2022-01-13,209.0,,,,,,103.76,103.84,103.87,103.76
2022-01-14,209.0,,,,,,,,,
2022-01-15,,,,,,,,,,
2022-01-16,,,,,,,103.84,104.02,104.02,103.84
2022-01-17,209.0,,,,,,104.02,104.06,104.19,103.97
2022-01-18,209.5,,,,,,104.06,104.14,104.25,104.06
2022-01-19,212.0,,,,,,104.14,104.21,104.31,104.14
2022-01-20,213.0,,,,,,104.21,104.34,104.36,104.17
2022-01-21,218.0,,,,,,,,,
2022-01-22,,,,,,,,,,
2022-01-23,,,,,,,104.34,104.47,104.54,104.25
2022-01-24,219.0,,,,,,104.47,104.61,104.62,104.25
2022-01-25,219.5,,,,,,104.61,104.7,104.7,104.42
2022-01-26,220.5,,,,,,104.7,104.75,104.76,104.58
2022-01-27,223.5,,,,,,104.75,104.83,104.83,104.73
2022-01-28,213.0,,,,,,,,,
2022-01-29,,,,,,,,,,
2022-01-30,,,,,,,104.83,105.0,105.02,104.73
2022-01-31,212.5,,,,,,105.0,105.11,105.14,105.0
2022-02-01,213.5,,,,,,105.11,105.15,105.21,105.0
2022-02-02,216.5,,,,,,105.15,105.27,105.31,105.0
2022-02-03,216.0,,,,,,105.27,105.3,105.41,105.27
2022-02-04,213.0,,,,,,,,,
2022-02-05,,,,,,,,,,
2022-02-06,,,,,,,105.3,105.57,105.7,105.3
2022-02-07,214.0,,,,,,105.57,105.8,105.8,105.57
2022-02-08,215.0,,,,,,105.8,105.88,105.91,105.7
2022-02-09,216.0,,,,,,105.88,106.01,106.01,105.88
2022-02-10,216.0,,,,,,106.01,106.14,106.14,105.7
2022-02-11,214.5,,,,,,,,,
2022-02-12,,,,,,,,,,
2022-02-13,,,,,,,106.14,106.25,106.43,106.0
2022-02-14,215.5,,,,,,106.25,106.35,106.47,106.25
2022-02-15,215.0,,,,,,106.35,106.46,106.58,106.35
2022-02-16,215.0,,,,,,106.46,106.67,106.67,106.46
2022-02-17,214.0,,,,,,106.67,106.78,106.78,106.56
2022-02-18,211.0,,,,,,,,,
2022-02-19,,,,,,,,,,
2022-02-20,,,,,,,106.78,107.06,107.06,106.78
2022-02-21,211.0,,,,,,107.06,107.19,107.19,107.03
2022-02-22,210.0,,,,,,107.19,107.28,107.32,107.08
2022-02-23,210.0,,,,,,107.28,107.37,107.41,107.17
2022-02-24,210.0,,,,,,107.37,107.44,107.44,107.27
2022-02-25,210.5,,,,,,,,,
2022-02-26,,,,,,,,,,
2022-02-27,,,,,,,107.44,107.39,107.44,107.27
2022-02-28,,,,,,,107.39,107.39,107.39,107.33
2022-03-01,,,,,,,107.39,107.82,107.95,107.33
2022-03-02,206.5,,,,,,107.82,108.03,108.04,107.82
2022-03-03,205.0,,,,,,108.03,108.02,113.42,107.83
2022-03-04,201.0,,,,,,,,,
2022-03-05,,,,,,,,,,
2022-03-06,,,,,,,108.02,108.44,108.46,108.02
2022-03-07,200.5,,,,,,108.44,108.55,108.55,108.36
2022-03-08,202.0,,,,,,108.55,108.69,108.69,108.36
2022-03-09,203.0,,,,,,108.69,108.77,108.79,108.69
2022-03-10,,,,,,,108.77,108.77,108.88,108.69
2022-03-11,201.0,,,,,,,,,
2022-03-12,,,,,,,,,,
2022-03-13,,,,,,,108.77,109.19,109.24,108.77
2022-03-14,201.5,,,,,,109.19,109.2,109.31,109.0
2022-03-15,199.0,,,,,,109.2,109.41,109.42,109.2
2022-03-16,201.0,,,,,,109.41,109.51,109.52,109.31
2022-03-17,203.0,,,,,,109.51,109.67,109.67,109.51
2022-03-18,202.0,,,,,,,,,
2022-03-19,,,,,,,,,,
2022-03-20,,,,,,,109.67,109.96,110.0,109.67
2022-03-21,202.0,,,,,,109.96,110.06,110.07,109.96
2022-03-22,202.0,,,,,,110.06,110.17,110.18,110.06
2022-03-23,201.0,,,,,,110.17,110.12,110.17,110.06
2022-03-24,,,,,,,110.12,110.38,110.39,110.06
2022-03-25,202.0,,,,,,,,,
