month,year,USDT_BOB_Binance_sell_vwap,USDT_BOB_Binance_buy_vwap,USDT_BOB_Binance_sell_volume,USDT_BOB_Binance_buy_volume,USD_BOB_Parallel_series,USD_BOB_Tarjeta_sell_price
01,2022,,,,,,
02,2022,,,,,,
03,2022,,,,,,
04,2022,,,,,,
05,2022,,,,,,
06,2022,,,,,,
07,2022,,,,,,
08,2022,,,,,,
09,2022,,,,,,
10,2022,,,,,,
11,2022,,,,,,
12,2022,,,,,,
01,2023,,,,,,
02,2023,,,,,6.97,
03,2023,,,,,7.27,
04,2023,,,,,7.55,
05,2023,,,,,7.79,
06,2023,,,,,7.52,
07,2023,,,,,7.59,
08,2023,,,,,7.8,
09,2023,,,,,7.86,
10,2023,7.25,7.33,,,7.51,
11,2023,7.33,7.32,,,7.52,
12,2023,7.6,7.6,,,7.69,
01,2024,7.79,7.77,,,8.12,
02,2024,8.11,8.08,,,8.58,
03,2024,8.22,8.19,,,8.21,
04,2024,8.44,8.39,,,8.38,
05,2024,8.72,8.67,,,8.88,
06,2024,8.96,8.91,,,9.15,
07,2024,10.26,10.23,,,10.8,
08,2024,11.43,11.35,,,12.15,
09,2024,10.57,10.5,108682.07,177868.63,10.53,
10,2024,10.58,10.53,158585.51,203456.08,10.53,
11,2024,10.89,10.84,130095.66,164575.42,11.19,
12,2024,11.11,11.06,101286.63,201931.14,11.73,
01,2025,11.25,11.2,177967.81,419805.9,11.64,
02,2025,11.24,11.2,215173.76,608347.6,11.5,
03,2025,11.82,11.77,177748.85,558256.63,12.39,10.66
04,2025,13.57,13.49,210648.52,441083.05,13.4,11.69
05,2025,16.37,16.26,233620.1,367853.74,16.69,13.03
06,2025,,,,,,
