quarter,year,USDT_BOB_Binance_sell_vwap,USDT_BOB_Binance_buy_vwap,USDT_BOB_Binance_sell_volume,USDT_BOB_Binance_buy_volume,USD_BOB_Parallel_series,USD_BOB_Tarjeta_sell_price
1,2022,,,,,,
2,2022,,,,,,
3,2022,,,,,,
4,2022,,,,,,
1,2023,,,,,7.15,
2,2023,,,,,7.62,
3,2023,,,,,7.75,
4,2023,7.41,7.43,,,7.58,
1,2024,8.04,8.01,,,8.3,
2,2024,8.71,8.66,,,8.81,
3,2024,10.75,10.7,108682.07,177868.63,11.17,
4,2024,10.86,10.81,114323.61,198812.43,11.15,
1,2025,11.44,11.39,191808.4,521576.97,11.85,10.66
2,2025,14.99,14.9,222517.17,403247.9,15.07,12.32
