FECHA	ACTIVOS EXTERNOS NETOS	CRÉDITO AL SECTOR PÚBLICO	CRÉDITO AL SECTOR PRIVADO	OTRAS CUENTAS NETAS	LIQUIDEZ TOTAL M'4
ENE 2000	7,449,018.27 	645,030.04 	30,609,671.00 	(12,479,394.59)	26,224,324.73
FEB 2000	7,404,498.56 	699,972.99 	30,568,195.00 	(12,624,198.98)	26,048,467.58
MAR 2000	7,147,863.30 	634,009.72 	30,689,470.10 	(12,478,712.75)	25,992,630.37
ABR 2000	7,040,132.79 	687,348.09 	30,884,832.90 	(12,392,208.04)	26,220,105.73
MAY 2000	6,938,038.99 	554,227.84 	30,854,460.00 	(12,165,201.84)	26,181,524.99
JUN 2000	7,062,595.83 	395,244.15 	30,966,600.00 	(12,254,876.60)	26,169,563.37
JUL 2000	7,344,628.66 	527,206.60 	30,961,985.00 	(12,421,368.17)	26,412,452.09
AGO 2000	7,865,525.89 	762,556.98 	30,858,527.00 	(12,842,428.62)	26,644,181.26
SEP 2000	8,249,985.92 	862,134.17 	31,021,988.00 	(13,194,576.78)	26,939,531.31
OCT 2000	8,091,809.65 	766,818.04 	30,907,460.00 	(13,057,993.50)	26,708,094.19
NOV 2000	8,221,531.81 	876,685.37 	30,804,994.00 	(13,198,156.43)	26,705,054.74
DIC 2000	8,936,860.03 	1,381,521.11 	30,400,077.00 	(12,705,469.43)	28,012,988.70
ENE 2001	9,166,759.96 	1,442,814.73 	29,935,091.00 	(12,689,786.96)	27,854,878.73
FEB 2001	9,315,746.22 	1,725,138.77 	29,851,914.00 	(11,926,114.70)	28,966,684.29
MAR 2001	9,099,385.83 	1,919,494.44 	29,593,647.00 	(11,654,259.85)	28,958,267.42
ABR 2001	9,299,981.50 	1,583,786.74 	29,465,744.00 	(11,409,599.53)	28,939,912.70
MAY 2001	9,781,493.97 	1,766,608.37 	29,506,410.00 	(11,529,541.42)	29,524,970.93
JUN 2001	9,949,925.05 	1,412,374.25 	29,403,244.00 	(11,136,868.63)	29,628,674.67
JUL 2001	10,112,023.06 	1,529,114.01 	29,365,433.00 	(11,465,847.64)	29,540,722.42
AGO 2001	10,439,441.74 	1,656,939.72 	29,159,505.00 	(11,295,233.30)	29,960,653.16
SEP 2001	10,586,677.90 	1,881,054.16 	29,072,646.00 	(11,574,776.03)	29,965,602.03
OCT 2001	10,708,292.60 	2,056,884.03 	29,092,063.00 	(11,599,026.48)	30,258,213.14
NOV 2001	11,587,507.30 	1,702,702.35 	28,967,284.00 	(11,763,403.49)	30,494,090.16
DIC 2001	11,995,961.31 	2,560,113.73 	28,621,727.00 	(11,836,441.03)	31,341,361.01
ENE 2002	12,700,335.49 	1,846,011.14 	28,465,486.00 	(12,006,462.52)	31,005,370.10
FEB 2002	12,488,655.11 	1,901,907.93 	28,570,308.00 	(12,049,562.02)	30,911,309.02
MAR 2002	12,039,724.24 	2,073,015.85 	28,696,482.00 	(12,360,236.25)	30,448,985.84
ABR 2002	12,155,769.76 	1,958,934.99 	28,781,794.00 	(12,236,169.25)	30,660,329.50
MAY 2002	12,020,038.55 	2,237,687.61 	28,706,086.00 	(12,529,834.22)	30,433,977.93
JUN 2002	11,038,977.60 	2,779,111.80 	28,828,477.00 	(12,971,434.65)	29,675,131.75
JUL 2002	7,843,204.82 	2,341,401.70 	28,714,364.00 	(13,412,650.88)	25,486,319.63
AGO 2002	8,692,896.22 	2,653,186.54 	28,642,845.00 	(13,849,092.90)	26,139,834.86
SEP 2002	9,401,211.65 	2,892,133.91 	28,668,529.00 	(13,886,823.13)	27,075,051.43
OCT 2002	9,725,682.70 	3,141,464.47 	28,796,667.00 	(13,838,595.01)	27,825,219.17
NOV 2002	9,769,264.85 	3,592,290.75 	28,966,733.00 	(13,952,649.41)	28,375,639.19
DIC 2002	10,671,570.59 	4,220,864.80 	28,957,116.00 	(13,878,560.93)	29,970,990.45
ENE 2003	10,901,316.57 	4,404,580.05 	28,848,764.00 	(14,083,333.11)	30,071,327.51
FEB 2003	9,689,757.71 	4,634,514.63 	28,640,507.00 	(14,150,058.88)	28,814,720.46
MAR 2003	9,652,976.42 	4,680,583.67 	28,864,704.00 	(14,305,355.48)	28,892,908.62
ABR 2003	10,085,471.39 	4,335,547.24 	28,902,592.00 	(14,088,208.29)	29,235,402.34
MAY 2003	10,037,609.16 	4,775,112.86 	29,260,071.00 	(14,191,536.48)	29,881,256.54
JUN 2003	10,855,720.97 	4,429,285.87 	29,139,954.00 	(14,126,107.87)	30,298,852.98
JUL 2003	11,247,301.42 	4,849,080.64 	29,261,762.00 	(14,500,915.57)	30,857,228.49
AGO 2003	11,391,694.07 	5,141,401.48 	29,365,218.00 	(14,696,760.92)	31,201,552.63
SEP 2003	11,966,356.50 	4,794,626.15 	29,369,851.00 	(14,495,701.96)	31,635,131.69
OCT 2003	10,547,001.06 	4,927,462.40 	29,486,481.99 	(14,722,160.41)	30,238,785.04
NOV 2003	10,769,431.02 	4,810,905.37 	29,571,244.18 	(14,599,529.11)	30,552,051.46
DIC 2003	12,253,745.90 	4,594,913.04 	29,616,978.00 	(14,633,857.62)	31,831,779.32
